il;ilce;eczane_adi;telefon;adres
ISTANBUL;ADALAR;Burgazada Eczanesi;+902163812112;Çınarlık Sok. No: 3, Adalar, İstanbul
ISTANBUL;ADALAR;Hayat Eczanesi;+902163519907;Ayyıldız Cad. No: 25, Adalar, İstanbul
ISTANBUL;ADALAR;Deniz Eczanesi;+902163815181;İskele Sok. No: 3/B, Adalar, İstanbul
ISTANBUL;ADALAR;Yeni Eczanesi;+902163823800;Çınar Cad. No: 3, Adalar, İstanbul
ISTANBUL;ADALAR;Ada Eczanesi;+902163814775;Çarşı Cad. No: 20, Adalar, İstanbul
ISTANBUL;ADALAR;Halk Eczanesi;+902163827693;Çınar Cad. No: 13, Adalar, İstanbul
ISTANBUL;ADALAR;Kınalıada Eczanesi;+902163814151;Çarşı Cad. No: 38, Adalar, İstanbul
ISTANBUL;ADALAR;Bülent Eczanesi;+902163811311;Yalı Cad. No: 17, Adalar, İstanbul
ISTANBUL;ADALAR;Deniz Eczanesi;+902163823878;Şehit Recep Koç Cad. No: 1/C, Adalar, İstanbul
ISTANBUL;ADALAR;Heybeliada Eczanesi;+902163518415;Ayyıldız Cad. No: 28, Adalar, İstanbul
ISTANBUL;ADALAR;Büyükada Eczanesi;+902163826756;Çınar Cad. No: 2, Adalar, İstanbul
ISTANBUL;ADALAR;Burgazada Eczanesi;0 216 381 21 12;Burgazadası Mah.Çınarlık Sok.No.3 Burgazada Adalar/İstanbul
ISTANBUL;ADALAR;Merkez Eczanesi;0 216 382 63 92;Nizam Mah. 23 Nisan Cad.No. 12 Büyükada Adalar /İstanbul
ISTANBUL;ADALAR;Kınalı Eczanesi;0 216 381 40 98;Kınalıada Mah. Çarşı Cad.No. 38 Kınalıada Adalar/İstanbul
ISTANBUL;ADALAR;Güven Eczanesi;5536720396;Nizam Mahallesi Düz Sokak No:5
ISTANBUL;ARNAVUTKOY;Ömür Eczanesi;+902125975383;Anadolu Mah. Ayşıl Sok. No: 5 Daire: 1, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Adem Eczanesi;2128717027;Arnavutköy Merkez Mahallesi Cihaner Sokak 8-10A
ISTANBUL;ARNAVUTKOY;Can Eczanesi;2126340478;Hadımköy Mahallesi Çarşamba Sokak 6/8A Aile Sağlığı Merkezi Karşısı
ISTANBUL;ARNAVUTKOY;Zeyni Eczanesi;+902127801111;Mevlana Cad. No: 13, İstasyon Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Taner Eczanesi;+902125975100;Fatih Cad. No: 120/B, Merkez Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Derya Pharmacy Eczanesi;+902125979909;İslambey Mah. Fatih Cad. No: 124/A, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Arnavutköy Merkez Eczanesi;+902125971381;Mehmet Akif Cad. No: 3, Merkez Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Sağlık Eczanesi;+902125978767;Arnavutköy Merkez Mah. Eski Edirne Asfaltı Cad. No: 1225/B, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Arda Eczanesi;+902127710118;Turgut Özal Cad. Karanfil Sok. No: 5/A, Hastane Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Ulaş Eczanesi;+902125977190;Sağlık Ocağı Cad. No: 7, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Sinem Eczanesi;+902125977021;Eski Edirne Yolu Cad. No: 1119/A, Merkez Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Şirin Eczanesi;+902127712149;Atatürk Cad. No: 7 Daire: 1, İstasyon Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Gülümser Eczanesi;+902125979960;295. Sok. No: 8/A, Merkez Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Serhat Pharmacy Eczanesi;+902125979767;İslambey Mah. Fatih Cad. No: 26/B, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Hayat Eczanesi;+902125978537;Arnavutköy Merkez Mah. Eski Edirne Asfaltı Cad. No: 1336, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Aslı Eczanesi;+902125976009;Mevlana Cad. No: 20/E, Merkez Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Özdemir Eczanesi;+902125972576;Nene Hatun Cad. Tahtakale Sok. No: 11, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Filiz Eczanesi;+902125977475;266 Sok. No: 4, Merkez Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Duygu Eczanesi;+902127713445;Hadımköy Yolu Cad. No: 285/A, Hadımköy Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Merve Nur Eczanesi;+902125977330;Arnavutköy Merkez Mah. Eski Edirne Asfaltı Cad. No: 1378/C, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Bolluca Eczanesi;+902126851276;No: 54/B, Bolluca Merkez Mah. Köprü Başı Mevki, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Şifa Eczanesi;+902125972421;Anadolu Mah. Necip Fazıl Cad. No: 3, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Hadımköy Eczanesi;+902127712325;Özcan Taşkınbaş Cad. PTT Sok. No: 9/A, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Yaylalı Eczanesi;+902125974462;İşçiler Sok. No: 6/A, Merkez Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Deva Pharmacy Eczanesi;+902125979605;Arnavutköy Merkez Mah. Eski Edirne Asfaltı Cad. No: 1175/A, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Taşoluk Eczanesi;+902126820971;Atatürk Cad. No: 57 Daire: 2, Mehmet Akif Mah., Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Meram Eczanesi;+902125305825;Ömerli Mah. Terme Sok. No: 8 Daire: 3, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;İmrahor Eczanesi;+902126860789;Sevban Mehmet Cad. No: 149, İmrahor Köyü, Arnavutköy, İstanbul
ISTANBUL;ARNAVUTKOY;Deva Eczanesi;0 212 597 96 05;Arnavutköy Merkez Mah. Fatih Cad.No. 1175/A Arnavutköy /İstanbul
ISTANBUL;ARNAVUTKOY;Kübra Eczanesi;0 212 685 28 29;Mavigöl Mah. Abdullah Gül Cad.No.26/C Bolluca Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Soydan Eczanesi;0 212 880 76 74;Hastane Mah. Conk Bayırı Sok.No.13/B Hadımköy Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Kaya Eczanesi;0 212 597 93 34;İslambey Mah. Eskikale Sok.No.3 Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Derya Eczanesi;0 212 597 99 09;İslambey Mah. Fatih Cad.No. 124/A/B Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Doğanay Eczanesi;0 212 683 00 50;Haraççı Merkez Mah. Hazal Sok.No.33/C Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Vefa Eczanesi;0 212 780 15 05;Hadımköy Mah., Cahit Sıtkı Tarancı Cad.No., 86F Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Gümüş Eczanesi;0 212 686 07 89;İmrahor Mah.Sevban Mehmet Cad.No.142/A Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Fatih Eczanesi;0 212 780 15 70;Hadımköy Mah. Şebeke Cad.No.1 Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Tezel Eczanesi;0 212 597 10 91;Arnavutköy Merkez Mah. 259. Sok.No. 8/B Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Avlu 34 Eczanesi;0 212 597 07 07;Arnavutköy Merkez Mah. Baykan Sok.No.1A/34 Arnavutköy/İstanbul   Saat 19:00'a Kadar Nöbetçi
ISTANBUL;ARNAVUTKOY;Boğazköy Eczanesi;0 212 684 12 13;Yunus Emre Mah. Necip Fazıl Cad.No.243/E Arnavutköy /İstanbul   Saat 19:00'a Kadar Nöbetçi
ISTANBUL;ARNAVUTKOY;Derin Eczanesi;0 212 775 21 11;Deliklikaya Mah. Kayabaşı Cad.No.12/C Hadımköy Arnavutköy/İstanbul   Saat 19:00'a Kadar Nöbetçi
ISTANBUL;ARNAVUTKOY;Taşoluk Filiz Eczanesi;0 212 597 74 75;Arnavutköy Merkez Mah. 266. Sok.No.4 Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Toki Eczanesi;0 212 682 05 06;Mehmet Akif Ersoy Mah. Mahmure Sok.No.13 Taşoluk Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Canan Eczanesi;0 212 621 75 86;Arnavutköy Merkez Mah. Semih Sok.No. 8/10A Arnavutköy /İstanbul
ISTANBUL;ARNAVUTKOY;Serhad Eczanesi;0 212 597 97 67;Arnavutköy Merkez Mah. Semih Sok.No. 8/10B Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Tuğba Eczanesi;0 212 681 09 19;Arnavutköy Merkez Mah. Demircan Sok.No.25/A Arnavutköy/İstanbul   Saat 19:00'a Kadar Nöbetçi
ISTANBUL;ARNAVUTKOY;Ayışığı Eczanesi;0 212 597 46 47;Anadolu Mah. Mücevher Sok.No. 42 Arnavutköy /İstanbul
ISTANBUL;ARNAVUTKOY;Marmara Eczanesi;0 212 597 02 93;Anadolu Mah. Necip Fazıl Cad.No.33/B Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;İnci Eczanesi;0 212 681 08 80;Mustafa Kemal Paşa Mah.Emine Sok.No.3/A1 Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;İnan Eczanesi;0 212 494 45 78;İslambey Mah. Behramşah Sok.No.11/A Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Deniz Eczanesi;0 212 596 10 76;Ömerli Mah. Hadımköy-İstanbul Yolu Cad.No.65 Hadımköy Arnavutköy /İstanbul   Saat 19:00'a Kadar Nöbetçi
ISTANBUL;ARNAVUTKOY;Ferdem Eczanesi;0 212 597 56 54;Arnavutköy Merkez Mah.Eski Edirne Asfaltı Cad.No.1175/B Arnavutköy/İstanbul 15.01.2021
ISTANBUL;ARNAVUTKOY;Yıldırım Eczanesi;0 212 798 35 52;Ömerli Mah. Terme Sok.No.8/3 Hadımköy Arnavutköy/İstanbul   Saat 19:00'a Kadar Nöbetçi
ISTANBUL;ARNAVUTKOY;Çiçek Eczanesi;0 552 389 51 29;Mustafa Kemal Paşa Mah. Fatih Cad. No.183/A Arnavutköy /İstanbul   Saat 19:00'a Kadar Nöbetçi
ISTANBUL;ARNAVUTKOY;Taşoluk Şifa Eczanesi;0 212 682 12 42;Mehmet Akif Ersoy Mah. Atatürk Cad.No.53/B Taşoluk Arnavutköy/İstanbul   Saat 19:00'a Kadar Nöbetçi
ISTANBUL;ARNAVUTKOY;Çilek Eczanesi;0 535 236 97 80;Hadımköy Mah. Hasan Polatkan Cad.No.2/A Arnavutköy /İstanbul
ISTANBUL;ARNAVUTKOY;Olgaç Eczanesi;0 212 597 65 96;Arnavutköy Merkez Mah. Polatkan Sok.No.9/A  Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Arnavutköy Şifa Eczanesi;0 212 597 07 65;Arnavutköy Merkez Mah. Şener Sok.No. 2/8B Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Aslı Arnavutköy Eczanesi;0 212 597 60 09;Arnavutköy Merkez Mah. Semih Sok.No. 4/2 Arnavutköy/İstanbul
ISTANBUL;ARNAVUTKOY;Canan Arnavutköy Eczanesi;0 212 621 75 86;Arnavutköy Merkez Mah. Semih Sok.No. 8/10A Arnavutköy /İstanbul
